,rat,day,total,likelihood,start,DBSCAN,jumps
0,BP15,Day4,3272,3272,0,0,28338
1,BP15,Day3,7089,7089,0,0,0
2,BP15,Day2,4665,4665,0,0,0
3,BP15,Day5,3468,3466,0,2,0
4,BP15,Day23,3295,3287,0,8,169
5,BP15,Day24,3009,3001,0,8,21036
6,BP15,Day12,3452,3452,0,0,0
7,BP15,Day15,3010,3004,0,6,0
8,BP15,Day14,3496,3493,0,3,0
9,BP15,Day13,2034,2034,0,0,38488
10,BP15,Day25,2860,2840,0,20,16336
11,BP15,Day22,3449,3441,0,8,0
12,BP15,Day7,2417,2417,0,0,6
13,BP15,Day9,2424,2420,0,4,0
14,BP15,Day8,2001,1989,0,12,0
15,BP15,Day6,30873,3202,29357,0,0
16,BP15,Day1,4720,4720,0,0,0
17,BP15,Day27,3323,3323,0,0,0
18,BP15,Day18,654,629,0,25,0
19,BP15,Day20,1959,1959,0,0,365
20,BP15,Day16,2560,2559,0,1,0
21,BP15,Day11,2815,2784,0,31,0
22,BP15,Day10,1434,1429,0,5,0
23,BP15,Day17,2580,2573,6,7,320
24,BP15,Day21,2694,2691,0,3,0
25,BP15,Day26,2943,2943,0,0,0
26,BP15,Day19,2693,2681,0,12,0
